section,gene,p_adj
A1,CDH11,1
A1,CDH3,1
A1,CDK5RAP1,1
A1,CENPF,1
A1,CEP250,1
A1,CEP55,0.09395469955837894
A1,CERCAM,1
A1,CERS5,0.316070632269066
A1,CES2,1
A1,CFAP36,1
A1,CFDP1,1
A1,CGGBP1,1
A1,CHCHD6,1
A1,CHD1,1
A1,CHD6,1
A1,CHFR,1
A1,CHST11,1
A1,CIR1,1
A1,CLASRP,0.9562522055676602
A1,CLDN3,6.744573703755343e-13
A1,CLDN4,2.3456128547504693e-10
A1,CLU,3.712798868458737e-7
A1,CNN2,1.6395402385514555e-5
A1,COL14A1,0.5748654528697366
A1,COL3A1,1
A1,COL4A1,1
A1,COL6A2,0.6166075807421517
A1,COL8A2,1
A1,COMMD1,1
A1,COMP,2.620748639173505e-11
A1,COPS7A,1
A1,COQ4,1
A1,CORO1A,1
A1,CORO1B,3.658201704614737e-5
A1,CORO2A,1
A1,CORO7,1
A1,COX5A,1
A1,CPNE1,1
A1,CPSF1,1
A1,CPVL,1
A1,CRABP2,0.02002621817527087
A1,CRACR2B,8.376897117681638e-7
A1,CRELD2,1
A1,CROCC,1
A1,CSF1,1
A1,CSF1R,1
A1,CTDSPL,1
A1,CTIF,1
A1,CTSK,1
A1,CTU2,0.3880179993399466
A1,CUTC,1
A1,CUX1,1
A1,CX3CL1,2.6816581905645382e-5
A1,CXCL10,0.6576205640910404
A1,CXXC5,1.0530701275057595e-7
A1,CYP27A1,1
A1,DAPK3,0.03193443938329849
A1,DCAF6,1
A1,DCXR,1
A1,DDAH1,1
A1,DDB2,1
A1,DDIT3,1
A1,DDRGK1,0.3063445326046256
A1,DDT,0.52388158021431
A1,DEAF1,0.52388158021431
A1,DENND1A,0.4196952597491906
A1,DERL3,1
A1,DESI1,1
A1,DHX16,1
A1,DLG1,1
A1,DMAP1,9.130715313893415e-4
A1,DNAJB2,2.4833046273369765e-7
A1,DNAJC1,1
A1,DNAJC7,0.6818794373867585
A1,DOCK6,0.5484555713467122
A1,DPH3,1
A1,DPM2,4.0567139768193954e-4
A1,DPP7,1
A1,DPP9,1
A1,DPYSL3,1
A1,DVL1,1
A1,EBAG9,1
A1,ECHDC2,1
A1,ECM1,1
A1,EFEMP2,1
A1,EFHD2,0.28575393509585445
A1,EGFR,1
A1,EIF1AD,1
A1,EIF3B,3.1699496407650116e-12
A1,EIF3F,1
A1,EIF3G,1
A1,ELN,0.4712269463650953
A1,ELOF1,0.0047659835731157126
A1,EMC3,1
A1,ENPP1,2.2807375957848097e-4
A1,EPHB3,1
A1,ERAL1,0.52388158021431
A1,ERBB2,2.508715988164592e-6
A1,ERI3,0.002371343665225649
A1,ERMP1,1
A1,ESR1,0.0979187404518437
A1,ETFB,0.005577308423546669
A1,EVA1B,0.2249011915569064
A1,EXD3,0.4725158568945948
A1,EXO1,1
A1,EXOC5,1
A1,EXOSC1,1
A1,EXOSC10,1
A1,EXOSC2,1
A1,EZH2,1
A1,FAAH,1
A1,FADS2,1
A1,FAH,1
A1,FAIM2,1
A1,FAM102A,1
A1,FAM117A,1
A1,FAM118A,1
A1,FAM160B1,1
A1,FAM173A,1.4487420385893318e-4
A1,FAM193B,1
A1,FAM213B,1
A1,FAM3A,0.3781022395370313
A1,FAM45A,1
A1,FAP,1
A1,FARP1,0.013624704298614645
A1,FARSB,1
A1,FASN,1.837547704664517e-5
A1,FBF1,1
A1,FBLN2,0.30318684633481263
A1,FCER1G,1
A1,FDPS,1
A1,FGFR1,1
A1,FGFR4,1
A1,FKBP10,1
A1,FKBP8,1.6874423808743738e-8
A1,FLNA,0.09379663363870987
A1,FN1,1
A1,FNBP4,1
A1,FOXA1,1
A1,FOXC1,1
A1,FOXP4,9.524203235708681e-8
A1,FSTL1,1
A1,FSTL3,1
A1,FUOM,1
A1,FUS,1
A1,FZD2,0.6731277559463612
A1,GALK1,1
A1,GANAB,2.831576312294993e-4
A1,GAR1,1
A1,GAS6,4.565600614979583e-5
A1,GATA3,0.5836421938360148
A1,GATC,0.33282143373444856
A1,GBP1,1
A1,GBP2,1
A1,GBP3,1
A1,GBP4,1
A1,GBP5,1
A1,GEMIN4,1
A1,GLCCI1,1
A1,GLG1,1
A1,GLTSCR2,0.4088420717299596
A1,GMFG,0.7302105464962009
A1,GMPPA,1
A1,GNAI2,4.880405366425248e-6
A1,GNAS,0.046249199907703445
A1,GNL2,1
A1,GPR108,1
A1,GPR160,0.17471107913542341
A1,GPRC5A,1.274024340449071e-5
A1,GPS1,1.6620051955712404e-5
A1,GPSM1,1
A1,GPX3,0.021046682961001588
A1,GRB7,0.003456562946054821
A1,GRK3,0.9562522055676602
A1,GSK3A,0.00594536776331049
A1,GSTM3,1
A1,GYPC,0.9804906085053049
A1,HAGHL,2.831576312294993e-4
A1,HCFC1R1,1.8706595892614862e-13
A1,HCST,1
A1,HDAC5,0.03311290112673638
A1,HDAC6,1
A1,HELZ2,1
A1,HES1,1
A1,HLA-B,0.007826320366700602
A1,HLA-DMA,1
A1,HLA-DMB,1
A1,HLA-DOA,1
A1,HLA-DPA1,0.09863048342022282
A1,HLA-DPB1,1
A1,HLA-DRA,0.3444329144828078
A1,HLA-DRB1,1
A1,HMGB2,1
A1,HNRNPUL2,0.0013541524272896034
A1,HOOK3,1
A1,HPS6,1
A1,HSD17B1,1
A1,HSPA4,0.5720049571392068
A1,HSPB1,2.0537424245928494e-6
A1,HSPB11,1
A1,HYI,1.5661176346471585e-6
A1,IDH3G,1
A1,IDUA,0.6682013358873978
A1,IER5L,1
A1,IFI27,1
A1,IFI27L1,1
A1,IFI44L,1
A1,IGFBP2,2.620748639173505e-11
A1,IGFBP4,0.07685112495160144
A1,IGHA1,0.00608483265609174
A1,IGHG3,0.003456562946054821
A1,IGHG4,1
A1,IGHM,0.2258238007674807
A1,IGKC,0.032288889495987634
A1,IGLC2,0.2745936260316515
A1,IGLC3,0.043863012216106397
A1,IGLC7,1
A1,IKZF3,1
A1,IL10RA,1
A1,ILKAP,1
A1,INAFM1,1
A1,INPP4B,1
A1,INPP5D,1
A1,INPP5J,0.023238264217921925
A1,INTS8,1
A1,ISG15,0.023238264217921925
A1,ISLR,1
A1,ITGA5,1
A1,ITGB4,1.1357253196919804e-5
A1,ITGB6,0.016042042921925896
A1,ITSN1,1
A1,JAG2,1
A1,JAK1,1
A1,JAK3,1
A1,JCHAIN,0.6450449391368704
A1,JMJD6,1
A1,KAT6B,1
A1,KATNA1,1
A1,KCNAB2,1
A1,KCTD10,1
A1,KDM4B,1
A1,KIAA0895L,1
A1,KIAA1211L,1
A1,KIAA1217,1
A1,KIAA1468,1
A1,KIAA1715,1
A1,KIF13B,1
A1,KIF2C,1
A1,KLF9,1
A1,KMT2B,0.058799500236277925
A1,KMT2E,1
A1,KPNB1,1
A1,KRAS,1
A1,KRT10,1
A1,KRT14,0.029296591423909054
A1,KRT17,6.024514368253059e-7
A1,KRT5,0.8320360926364195
A1,KRT8,2.212337471765731e-9
A1,KRT86,1
A1,LAMB2,1
A1,LAMTOR2,1
A1,LANCL1,1
A1,LARP1B,1
A1,LARP7,1
A1,LCK,1
A1,LCP1,1
A1,LGALS1,2.0301249207042478e-5
A1,LIMCH1,1
A1,LIMK1,0.06695933480954931
A1,LINC00176,0.8466203572303067
A1,LINGO1,1
A1,LLGL1,1
A1,LMF1,1
A1,LMNA,6.635966162137747e-17
A1,LRRC8A,1
A1,LRWD1,1
A1,LST1,1
A1,LTB4R,1
A1,LTBP3,3.30695366520355e-7
A1,LTF,1
A1,LUC7L,1
A1,LUC7L3,1
A1,LUM,1
A1,LYL1,1
A1,MAGEF1,1
A1,MAGI1,1
A1,MAGOHB,1
A1,MAP1S,1
A1,MAP3K14,1
A1,MAP3K6,1
A1,MAP4K2,1
A1,MAPK9,1
A1,MAPKAPK5,1
A1,MAPT,1
A1,MARS,1
A1,MAVS,1
A1,MCTS1,1
A1,MDM2,0.5642729118354561
A1,MED13L,1
A1,MED25,1
A1,MELK,1
A1,MEN1,1
A1,METTL12,1
A1,METTL16,0.33282143373444856
A1,MFAP4,1
A1,MFSD3,1
A1,MFSD7,0.0075190495322225905
A1,MGMT,1
A1,MGP,1.0530701275057595e-7
A1,MIB2,1
A1,MICAL1,1
A1,MICALL2,0.5330027049097329
A1,MID1IP1,1
A1,MIF,2.527922428948367e-9
A1,MIIP,0.01687041299042105
A1,MKI67,1
A1,MKNK1,1
A1,MLLT4,1
A1,MLPH,1
A1,MLST8,1.708625338284687e-11
A1,MMP11,0.3521959948326652
A1,MMP9,1
A1,MORC2,1
A1,MPND,1
A1,MPST,9.59950229234782e-8
A1,MRPL2,1
A1,MRPL21,1
A1,MRPL23,0.08600869397818942
A1,MRPL51,1
A1,MRPL54,0.026649523948763475
A1,MRPS22,1
A1,MS4A6A,1
A1,MST1R,1
A1,MTG2,0.08821227265881992
A1,MTMR12,1
A1,MUC1,3.656268902562107e-10
A1,MUCL1,6.7914813341379575e-6
A1,MUS81,1
A1,MVP,0.21209258427311892
A1,MX2,1
A1,MYBL2,1
A1,MYC,1
A1,MYH10,1
A1,MYL12B,1
A1,MYL6B,1
A1,MYL9,1.7346492375691295e-5
A1,MYO1G,0.4196952597491906
A1,MYO9B,1
A1,MZT2A,0.026399520850107383
A1,NAA10,1
A1,NANS,1
A1,NAT1,1
A1,NCKAP1L,1
A1,NCKAP5L,1
A1,NDC80,1
A1,NDRG1,8.245241352840908e-11
A1,NDUFA1,1
A1,NDUFA12,1
A1,NDUFB2,1
A1,NDUFB3,1
A1,NDUFB9,3.345910010930605e-5
A1,NDUFC1,1
A1,NDUFS1,0.316070632269066
A1,NDUFV3,0.5642729118354561
A1,NEBL,1
A1,NEK7,1
A1,NELFE,1
A1,NFATC4,0.006630988052442555
A1,NFIC,1
A1,NINJ1,3.1699496407650116e-12
A1,NIT2,1
A1,NMRAL1,2.72959757985946e-7
A1,NR1H2,1
A1,NR4A1,0.006316358690660561
A1,NRP1,1
A1,NSMCE1,1
A1,NTMT1,1
A1,NUF2,1
A1,NUP214,1
A1,NUP93,1
A1,NXN,1
A1,OASL,1
A1,OGFRL1,0.4048505202877073
A1,OPTN,1
A1,ORC2,1
A1,ORC6,1
A1,OSBPL8,1
A1,P4HA2,1
A1,PAF1,1
A1,PAFAH1B3,1
A1,PAQR4,0.6818794373867585
A1,PARN,1
A1,PCCB,1
A1,PCIF1,1
A1,PDCD5,0.3627738324330445
A1,PDGFRA,1
A1,PDGFRB,1
A1,PER1,1
A1,PEX11G,1
A1,PEX14,1
A1,PGLS,7.900183036091222e-4
A1,PGR,1
A1,PHF11,1
A1,PHF13,1
A1,PHF21A,1
A1,PHGDH,1
A1,PHKB,1
A1,PIGQ,0.020850447479228436
A1,PIH1D1,1
A1,PILRA,1
A1,PIM2,1
A1,PITX1,4.437929497071016e-11
A1,PKNOX1,1
A1,PLAC9,1
A1,PLEKHO2,1
A1,PLIN2,1
A1,PLK1,0.52388158021431
A1,PLK2,1.4950729683963423e-4
A1,PLLP,1
A1,PLP2,1
A1,PLPPR2,0.23246164062359467
A1,PLSCR1,1
A1,PLTP,1
A1,PLVAP,4.918683692324917e-4
A1,PLXNA1,0.511198139684413
A1,PLXND1,4.3873664929466523e-7
A1,PMP22,1
A1,PNISR,1
A1,PNMT,2.6171146025987174e-5
A1,PNP,1
A1,PNPLA6,1
A1,PODNL1,1
A1,PODXL,1
A1,POLR2E,0.11488887455237183
A1,POLR2J,1
A1,POR,8.380787584028942e-4
A1,POSTN,1
A1,PPHLN1,0.6317856577028741
A1,PPIB,0.5335004102385056
A1,PPIH,0.10002479284427321
A1,PPM1G,1
A1,PPP1R1A,0.35149057266465633
A1,PPP1R1B,4.612888556499075e-8
A1,PPP1R37,5.559140877395801e-5
A1,PRKAB1,1
A1,PRKCSH,3.415452123581706e-9
A1,PROSER1,1
A1,PRPF6,1
A1,PRPSAP1,1
A1,PSCA,1
A1,PSMD4,1
A1,PSTPIP1,1
A1,PTGDS,1
A1,PTOV1,2.0185725719466855e-5
A1,PTP4A3,1
A1,PTPRC,1
A1,PTPRJ,1
A1,PTRF,1
A1,PTRH1,1
A1,PTTG1,1
A1,PUS3,1
A1,PWP1,1
A1,PWWP2B,1
A1,PXDN,1
A1,PYURF,1
A1,QSOX1,0.04810570769288359
A1,R3HDM2,1
A1,RAB11FIP1,1
A1,RAB3A,0.1796212513698267
A1,RAB3GAP1,1
A1,RAB3IL1,0.32506957334883657
A1,RABGAP1L,1
A1,RALBP1,1
A1,RALGAPA2,0.7154350799940506
A1,RAMP2,1
A1,RAP1B,1
A1,RARS2,1
A1,RASA2,1
A1,RASGRP2,1
A1,RASSF3,1
A1,RBL1,1
A1,RBM42,1
A1,RECQL4,1
A1,RECQL5,1
A1,REEP6,1
A1,RGS1,1
A1,RHOB,1
A1,RIOK1,1
A1,RMND1,0.7661799451533486
A1,RNASET2,1
A1,RND3,1
A1,RNF135,1
A1,RNF170,1
A1,RRAS,1
A1,RRM2,4.06386743656833e-4
A1,RSL1D1,0.0979187404518437
A1,RSRP1,0.08332314627560117
A1,RUVBL1,1
A1,S100A14,8.00162098403811e-15
A1,S100A9,1.4747684860631434e-9
A1,SAMM50,1
A1,SASH1,1
A1,SAT1,1
A1,SCAF1,1
A1,SCD,1.4124980852476048e-7
A1,SCNN1D,1
A1,SCX,1
A1,SDHB,1
A1,SEC14L2,8.144311977231599e-4
A1,SEC23A,1
A1,SEMA3B,0.4204415961618189
A1,SEMA4B,0.3272689670123473
A1,SF3B4,1
A1,SFRP1,1
A1,SFSWAP,1
A1,SGTA,1.4863345745557361e-6
A1,SH3BP5L,1
A1,SIGLEC1,1
A1,SIGMAR1,0.23197819110073165
A1,SLC16A2,1
A1,SLC16A3,0.0027063872011932975
A1,SLC22A18,1
A1,SLC25A24,0.35051553088839593
A1,SLC2A1,1
A1,SLC2A8,1
A1,SLC35A2,1
A1,SLC39A6,1
A1,SLC43A1,1
A1,SLC4A5,1
A1,SLC8B1,1
A1,SLC9A3R2,0.01687041299042105
A1,SLC9A8,1
A1,SLFN13,1
A1,SLPI,1
A1,SMCHD1,1
A1,SMG9,1
A1,SMYD2,1
A1,SNAPC3,1
A1,SNF8,1
A1,SNRPD3,0.9804906085053049
A1,SNTA1,1
A1,SNX33,1
A1,SNX8,1
A1,SOD3,1
A1,SOS2,1
A1,SOX4,0.3750370231885057
A1,SP6,1
A1,SPAG9,1
A1,SPARC,1
A1,SPIN1,1
A1,SPSB1,1
A1,SRGN,1
A1,SRPX2,1
A1,SRR,1
A1,SRRT,1
A1,SRSF1,1
A1,SRSF5,1
A1,SSSCA1,1
A1,STAMBP,1
A1,STAT5A,1
A1,STK17A,1
A1,STK4,1
A1,STMN1,0.28122256660160105
A1,STRN3,1
A1,STT3A,1
A1,SUGP1,1
A1,SURF1,1
A1,SVIL,1
A1,SYDE1,1
A1,SYK,1
A1,TACC3,1
A1,TANC2,1
A1,TARBP1,1
A1,TAX1BP1,0.5420850896286833
A1,TAX1BP3,1
A1,TBC1D10A,0.4196952597491906
A1,TBC1D23,1
A1,TBCA,1
A1,TBXAS1,1
A1,TCEA2,1
A1,TCEA3,1
A1,TCF25,2.826557797353697e-4
A1,TDRD3,1
A1,TESK1,1
A1,TESMIN,1
A1,TEX10,1
A1,TEX2,1
A1,TFF3,5.551018578398114e-14
A1,TGFBR2,1
A1,THBS1,1
A1,THOC5,1
A1,THOC6,1
A1,TIGD5,1
A1,TIMP1,0.046048845359053084
A1,TJP3,1
A1,TM7SF2,0.21209258427311892
A1,TMBIM6,1
A1,TMEM101,1
A1,TMEM123,1
A1,TMEM14B,1
A1,TMEM160,5.412534956313447e-4
A1,TMEM184A,0.2258238007674807
A1,TMEM259,3.1250777423647e-4
A1,TMEM45B,1
A1,TMEM86A,1
A1,TMX1,1
A1,TNC,1
A1,TNFRSF14,0.04212860865641634
A1,TNFRSF21,1
A1,TNFRSF4,1
A1,TNNT1,0.002500729054406387
A1,TOM1L2,1
A1,TP53I3,1
A1,TPM2,1
A1,TRAC,1
A1,TRAF5,1
A1,TRAP1,1
A1,TRAPPC4,1
A1,TRIM14,1
A1,TRIM22,1
A1,TRIM25,1
A1,TRIM47,1
A1,TSPAN33,1
A1,TSR2,1
A1,TTC31,1
A1,TTI1,1
A1,TXN2,1
A1,TXNDC17,0.6095203613546439
A1,TXNRD2,1.2144200063055946e-10
A1,TYMS,1
A1,TYROBP,1
A1,UBA52,0.007575711325991308
A1,UBA6,1
A1,UBAP2L,1
A1,UBE2C,1
A1,UBE2T,1
A1,UBE2W,1
A1,UBL7,0.8828741533190942
A1,UBR2,1
A1,UBXN1,1
A1,UCK1,0.25880782900368754
A1,UFD1L,1
A1,UQCRC1,2.8438141437133016e-4
A1,UXS1,1
A1,UXT,1
A1,VARS,1
A1,VAV1,1
A1,VCAM1,1
A1,VEGFB,1
A1,VIM,0.2772067631219886
A1,VPS13D,1
A1,VPS45,1
A1,VWF,1
A1,WDFY3,1
A1,WDR13,0.19465515025147656
A1,WDR34,2.6443868825896965e-13
A1,WDR46,0.0019990906335585687
A1,WDR73,1
A1,WDR74,1
A1,WIPF1,1
A1,XAB2,0.49242668771749903
A1,XIAP,1
A1,XPO6,1
A1,YIPF4,1
A1,YTHDC1,1
A1,ZDHHC12,6.178935631936096e-4
A1,ZFAND3,1
A1,ZFP36,1
A1,ZFPL1,1
A1,ZFR,1
A1,ZG16B,1
A1,ZMAT5,1
A1,ZMYND19,1.848077428864238e-9
A1,ZMYND8,1
A1,ZNF217,0.6283981857271297
A1,ZNF337,1
A1,ZNF33B,1
A1,ZNF362,1
A1,ZNF524,0.2258238007674807
A1,ZNF592,1
A1,ZNF644,1
A1,ZNF668,1
A1,ZNF771,1
A1,ZNF787,0.014456805268804848
A1,ZNF791,1
A1,ZNF83,1
A1,ZNF91,1
A1,ZNRF1,1
A1,ZSWIM8,0.040949397322010646
A2,A2M,0.007263349643083485
A2,AAMDC,1
A2,ABCA3,0.9610704113299122
A2,ABCA7,1
A2,ABCF3,0.08524142532994491
A2,ABHD14A,1
A2,ABHD4,1
A2,ACAA1,0.25849790268560996
A2,ACER3,1
A2,ACTR3B,0.7668445835237022
A2,ADAM15,2.181350182302971e-5
A2,ADCY3,1
A2,ADI1,0.5046474935653605
A2,AEBP1,0.5309925002218552
A2,AES,0.04767443128474058
A2,AGAP2,1
A2,AGO2,1
A2,AGPAT2,0.04613365076601723
A2,AGR2,2.9624063969730944e-6
A2,AHCY,1
A2,AKAP9,1
A2,AKR1A1,1
A2,AKT1S1,0.11611818582430487
A2,ALDH16A1,0.8810667563145872
A2,ALG3,1
A2,ANGPTL4,1
A2,ANKLE2,1
A2,ANKRD12,1
A2,ANKRD28,1
A2,ANLN,1
A2,ANO10,1
A2,AP5B1,1
A2,AP5Z1,0.7541701318646737
A2,APBA2,1
A2,APBB2,1
A2,APOBEC3G,1
A2,APOC1,0.010992692975144302
A2,AQP1,0.12475555813794761
A2,ARF5,1
A2,ARF6,1
A2,ARFGEF2,1
A2,ARHGAP10,1
A2,ARHGAP4,0.992323901456114
A2,ARHGAP45,1
A2,ARHGAP5,1
A2,ARHGEF10L,1
A2,ARHGEF3,1
A2,ARHGEF40,1
A2,ARID1B,1
A2,ARID3A,1
A2,ARID4A,1
A2,ARID5A,0.021048119392789687
A2,ARID5B,1
A2,ARNT,1
A2,ASCL2,1
A2,ASH2L,1
A2,ASL,1
A2,ASMTL,1
A2,ASNA1,0.007140623908743492
A2,ASNS,0.8860287643561202
A2,ATAD1,1
A2,ATF6B,1
A2,ATG12,1
A2,ATG16L2,1
A2,ATL2,1
A2,ATP5H,1
A2,ATP5O,0.6187633979936212
A2,ATP6AP1,1
A2,ATP6V0D1,1
A2,AURKAIP1,0.8932186248641985
A2,AVEN,1
A2,BABAM1,0.470905851337814
A2,BAD,0.05872558619971077
A2,BAG1,0.7337639182354485
A2,BAIAP3,1
A2,BCAM,1
A2,BCL2,0.5932021208390645
A2,BCL2L12,1
A2,BGN,0.7305292797155053
A2,BICDL1,1
A2,BIN3,1
A2,BIRC2,0.18575100574291997
A2,BIRC5,1
A2,BLVRA,1
A2,BOK,0.9081729765078472
A2,BOLA3,1
A2,BRD9,1
A2,BRF1,0.837312820072789
A2,BRF2,1
A2,BRK1,1
A2,BRPF1,1
A2,BSG,1.4960055468200143e-5
A2,BST2,0.066814480584386493
A2,BTG1,0.012434425642198108
A2,C10orf10,1
A2,C10orf54,0.15686121448405824
A2,C12orf45,1
A2,C15orf61,1
A2,C19orf24,1
A2,C19orf52,1
A2,C19orf60,1
A2,C1QB,0.18956971663539496
A2,C1R,0.01154602691271755
A2,C1S,1
A2,C1orf216,1
A2,C2,1
A2,C2CD2L,0.18956971663539496
A2,C3,2.8936244561221548e-8
A2,C4orf48,0.7305292797155053
A2,C5orf38,0.03283082491924042
A2,C6orf136,0.21043278547950559
A2,C6orf48,1
A2,CADM4,0.45009631892205654
A2,CALML5,0.08734659719659249
A2,CAMTA2,0.5272534151326946
A2,CAPG,1
A2,CARS2,1
A2,CBLC,1
A2,CCDC106,1
A2,CCDC167,0.8976361846001266
A2,CCDC57,0.6187633979936212
A2,CCDC80,0.7668445835237022
A2,CCDC88B,1
A2,CCL19,1
A2,CCL2,1
A2,CCL21,1
A2,CCM2,0.8634570560189831
A2,CCNB1,1
A2,CCNB1IP1,1
A2,CCNE1,0.23423488461854888
A2,CCNE2,1
A2,CCS,1
A2,CCT4,0.18575100574291997
A2,CD14,0.06148776340272763
A2,CD320,1
A2,CD3D,1
A2,CD4,1
A2,CD52,1
A2,CD68,1
A2,CD74,0.034679584512807865
A2,CD79A,1
A2,CDC20,8.191142308939802e-4
A2,CDC6,1
A2,CDH11,1
A2,CDH3,1
A2,CDK5RAP1,1
A2,CENPF,1
A2,CEP250,1
A2,CEP55,1
A2,CERCAM,1
A2,CERS5,1
A2,CES2,1
A2,CFAP36,1
A2,CFDP1,1
A2,CGGBP1,1
A2,CHCHD6,1
A2,CHD1,1
A2,CHD6,1
A2,CHFR,1
A2,CHST11,1
A2,CIR1,1
A2,CLASRP,0.3536343964978084
A2,CLDN3,0.490022654658249
A2,CLDN4,0.0034278296977971003
A2,CLU,0.04856314734813567
A2,CNN2,1.5292420714175042e-4
A2,COL14A1,0.2571146263996915
A2,COL3A1,0.6943438845222313
A2,COL4A1,1
A2,COL6A2,0.5436525899534629
A2,COL8A2,1
A2,COMMD1,1
A2,COMP,0.0015239381532104225
A2,COPS7A,1
A2,COQ4,1
A2,CORO1A,0.04767443128474058
A2,CORO1B,3.125798514722699e-4
A2,CORO2A,1
A2,CORO7,1
A2,COX5A,0.3238220287188421
A2,CPNE1,1
A2,CPSF1,1
A2,CPVL,1
A2,CRABP2,1.0220578610049366e-6
A2,CRACR2B,1
A2,CRELD2,1
A2,CROCC,1
A2,CSF1,0.5237584912794598
A2,CSF1R,0.31238268116825113
A2,CTDSPL,1
A2,CTIF,0.03918655168885536
A2,CTSK,1
A2,CTU2,1
A2,CUTC,1
A2,CUX1,1
A2,CX3CL1,4.5031313065686606e-4
A2,CXCL10,0.7668445835237022
A2,CXXC5,2.7572659591714173e-5
A2,CYP27A1,0.012656890824589413
A2,DAPK3,0.3090258723513148
A2,DCAF6,0.470905851337814
A2,DCXR,0.2764628171375855
A2,DDAH1,1
A2,DDB2,0.6478484977505191
A2,DDIT3,1
A2,DDRGK1,0.32376050399867623
A2,DDT,0.2575915792725325
A2,DEAF1,1
A2,DENND1A,1
A2,DERL3,1
A2,DESI1,1
A2,DHX16,1
A2,DLG1,0.3475155005299677
A2,DMAP1,0.3475155005299677
A2,DNAJB2,0.09090984158897893
A2,DNAJC1,1
A2,DNAJC7,1.519057458184568e-4
A2,DOCK6,0.1410186672965322
A2,DPH3,1
A2,DPM2,0.345857632034107
A2,DPP7,1
A2,DPP9,0.7913979004745756
A2,DPYSL3,1
A2,DVL1,1
A2,EBAG9,0.15187516500480347
